sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
6.6,3.1,5.8,2.2,virginica
6.8,3.0,5.5,2.3,virginica
7.4,2.8,5.1,2.0,virginica
4.3,4.0,1.3,0.1,setosa
4.1,3.2,1.6,0.3,setosa
6.4,3.4,5.5,2.2,virginica
6.3,2.5,3.9,1.1,versicolor
6.4,2.8,3.8,1.7,versicolor
5.2,3.0,1.5,0.1,setosa
6.0,3.0,4.4,1.2,versicolor
5.1,3.4,1.7,0.4,setosa
4.3,3.2,1.5,0.2,setosa
6.6,3.3,6.1,2.0,virginica
6.5,3.3,6.7,1.9,virginica
6.5,2.8,3.8,1.9,versicolor
6.6,2.8,5.4,1.9,virginica
5.0,3.7,1.3,0.3,setosa
7.1,2.8,4.7,1.8,virginica
4.7,3.5,1.6,0.1,setosa
6.3,3.0,4.5,1.1,versicolor
6.0,3.4,6.4,1.8,virginica
4.4,3.2,1.6,0.3,setosa
7.8,3.2,6.7,2.1,virginica
5.1,3.5,1.6,0.3,setosa
7.4,2.9,4.7,1.6,versicolor
6.3,2.1,4.7,1.3,versicolor
5.9,2.7,4.8,1.7,versicolor
4.9,2.9,1.6,0.3,setosa
6.1,3.8,5.6,1.8,virginica
6.1,2.6,4.2,1.2,versicolor
5.4,2.7,4.2,1.2,versicolor
5.9,2.3,4.7,1.3,versicolor
4.9,3.8,1.5,0.2,setosa
4.8,4.1,1.4,0.4,setosa
6.7,3.2,4.4,1.3,versicolor
5.6,3.4,6.1,2.3,virginica
6.5,2.5,4.6,1.4,versicolor
4.9,3.3,1.4,0.3,setosa
5.0,3.6,1.4,0.2,setosa
7.1,3.4,5.2,2.3,virginica
5.4,3.0,5.7,2.4,virginica
7.0,3.4,5.7,2.5,virginica
6.2,3.2,4.6,2.3,virginica
5.5,2.8,3.9,1.5,versicolor
7.0,2.8,6.2,1.4,virginica
6.2,2.9,5.4,2.2,virginica
4.9,2.8,1.4,0.3,setosa
6.1,2.7,5.6,1.9,virginica
6.1,3.0,4.7,1.7,virginica
7.5,2.9,5.1,2.0,virginica
6.9,3.2,5.5,1.8,virginica
4.7,3.2,1.2,0.3,setosa
6.1,2.8,5.0,1.2,versicolor
5.5,4.2,1.3,0.4,setosa
5.1,3.1,1.6,0.1,setosa
6.5,3.6,6.0,2.1,virginica
6.8,3.1,5.6,2.0,virginica
5.5,3.4,1.2,0.3,setosa
6.4,2.8,4.5,1.2,versicolor
6.4,3.2,6.1,2.2,virginica
5.2,3.6,4.0,1.5,versicolor
7.2,3.0,5.5,2.0,virginica
6.2,2.6,4.5,1.8,versicolor
5.6,2.8,6.2,2.7,virginica
6.5,2.8,4.4,1.2,versicolor
5.4,2.7,4.9,1.3,versicolor
5.4,3.5,1.3,0.1,setosa
5.6,3.9,6.4,1.5,virginica
